"ip","error","bogon","hostname","city","region","country","postal","loc","timezone","asn","asn_name","asn_domain","asn_route","asn_type","abuse_address","abuse_country","abuse_email","abuse_name","abuse_network","abuse_phone","company_name","company_domain","company_type","carrier_name","carrier_mcc","carrier_mnc"
"217.174.57.192",,"false","vlan-burgas-57-192.comnet.bg","Sliven","Sliven","BG","8800","42.6858,26.3292","Europe/Sofia","AS29084","Comnet Bulgaria Holding Ltd.","comnet.bg","217.174.57.0/24","isp",,"BG","abuse@bginfo.net","COMNET BULGARIA","217.174.56.0/23",,"Comnet Bulgaria Holding Ltd.","comnet.bg","isp",,,
"4.209.187.40",,"false",,"Monroe","Louisiana","US","71203","32.5530,-92.0422","America/Chicago","AS3356","Level 3 Parent, LLC","level3.com","4.0.0.0/8","isp","US, CO, Broomfield, 1025 Eldorado Blvd, 80021","US","ipaddressing@level3.com","ipaddressing","4.208.0.0/12","+1-877-453-8353","Level 3 Parent, LLC","centurylink.com","isp",,,
"147.177.235.135",,"false",,"Melbourne","Florida","US","32919","28.0836,-80.6081","America/New_York","AS243","Harris Government Systems Sector","harris.com","147.177.0.0/16","business","US, FL, Melbourne, 1025 West Nasa Blvd., Mailstop 71, 32919","US","dnsadmin@harris.com","Harris Corporation","147.177.0.0/16","+1-321-724-3330","Harris Corporation Information Management","harris.com","business",,,
"100.125.39.11",,"true",,,,,,,,,,,,,,,,,,,,,,,,
"88.217.209.75",,"false","host-88-217-209-75.webport.de","Olching","Bavaria","DE","82140","48.2000,11.3333","Europe/Berlin","AS8767","M-net Telekommunikations GmbH","m-net.de","88.217.0.0/16","isp","M-net Telekommunikations GmbH, Frankfurter Ring 158, 80807 Muenchen, Germany","DE","abuse@m-online.net",,"88.217.208.0/22",,"Webport IT-Services GmbH","webport.de","business",,,
"131.178.173.24",,"false",,"Monterrey","Nuevo León","MX","64700","25.6751,-100.3185","America/Monterrey","AS6342","Instituto Tecnológico y de Estudios Superiores de Monterrey","tec.mx","131.178.0.0/16","isp","Ave. Luis Elizondo, 427, local 30,31, 64849 - Monterrey - NL","MX","hostmaster@ITESM.MX","ITESM Redes de Sistema","131.178.0.0/16","+52 81 83582000 [2917]","Instituto Tecnológico y de Estudios Superiores de Monterrey","tec.mx","isp",,,
"7.106.250.95",,"false",,"Columbus","Ohio","US","43218","39.9690,-83.0114","America/New_York",,,,,,"US, OH, Columbus, 3990 E. Broad Street, 43218","US","disa.columbus.ns.mbx.arin-registrations@mail.mil","Registration","7.0.0.0/8","+1-844-347-2457","DoD Network Information Center","mail.mil","business",,,
"57.116.146.168",,"false",,"Les Avanchets","Geneva","CH","1216","46.2267,6.1055","Europe/Zurich",,,,,,"SITA","BE","abuse@sita.aero",,"57.101.0.0-57.193.255.255",,"Societe Internationale de Telecommunications Aeronautiques","sita.aero","hosting",,,
"66.249.236.49",,"false",,"Goshen","Indiana","US","46526","41.5823,-85.8344","America/Indiana/Indianapolis","AS13819","INDIGITAL TELECOM","indigital.net","66.249.224.0/20","business","US, IN, Fort Wayne, 5312 West Washington Ctr Rd, 46818","US","abuse@indigital.net","Abuse Account","66.249.224.0/19","+1-260-469-2010","INDIGITAL TELECOM","indigital.net","business",,,
"215.238.68.242",,"false",,"Columbus","Ohio","US","43218","39.9690,-83.0114","America/New_York",,,,,,"US, OH, Columbus, 3990 E. Broad Street, 43218","US","disa.columbus.ns.mbx.arin-registrations@mail.mil","Registration","215.0.0.0/8","+1-844-347-2457","DoD Network Information Center","mail.mil","isp",,,
"5.195.182.250",,"false",,"Dubai","Dubai","AE",,"25.0772,55.3093","Asia/Dubai","AS5384","Emirates Telecommunications Corporation","emirates.net.ae","5.195.182.0/23","isp","P.O. Box 93939 Dubai United Arab Emirates","AE","abuse@emirates.net.ae",,"5.195.0.0/16",,"Emirates Telecommunications Corporation","emirates.net.ae","isp",,,
"54.16.251.155",,"false",,"Woodbridge","New Jersey","US","07095","40.5576,-74.2846","America/New_York",,,,,,"US, NJ, Whitehouse Station, 1 Merck Drive, 07869","US","whitehouse_telecom@merck.com","Whitehouse Telecom","54.0.0.0-54.35.255.255","+1-908-423-2900","Merck and Co., Inc.","merck.com","business",,,
"209.129.140.18",,"false",,"Sunnyvale","California","US","94088","37.3688,-122.0363","America/Los_Angeles","AS2152","California State University, Office of the Chancellor","calstate.edu","209.129.0.0/16","education","US, CA, Long Beach, Office of the Chancellor, 401 Golden Shore, 90802","US","wedns@calstate.edu","CSU DNS Administrator","209.129.140.0-209.129.148.255","+1-562-951-8500","Mission College","mission-online.org","education",,,
"56.151.31.174",,"false",,"Raleigh","North Carolina","US","27668","35.7977,-78.6253","America/New_York",,,,,,"US, NC, Raleigh, 4200 Wake Forest Road, 27668","US","domainadmin@imail.usps.gov","Domain Admin","56.0.0.0/8","+1-800-877-7435","United States Postal Service.","usps.com","business",,,
"220.119.182.223",,"false",,"Busan","Busan","KR","48926","35.1017,129.0300","Asia/Seoul","AS4766","Korea Telecom","kt.com","220.116.0.0/14","isp","Jeollanam-do Naju-si Jinheung-gil","KR","irt@nic.or.kr","IP Manager","220.116.0.0-220.127.255.255","+82-2-500-6630","Korea Telecom","kt.com","isp",,,
"9.253.207.162",,"false",,"Durham","North Carolina","US","27709","36.0512,-78.8577","America/New_York",,,,,,"US, NC, Research Triangle Park, 3039 Cornwallis Road, 27709-2195","US","ipreg@us.ibm.com","Registrar Authority, Internet numbers","9.9.10.0-9.255.255.255","+1-800-426-7378","IBM","ibm.com","business",,,
"21.239.61.163",,"false",,"Columbus","Ohio","US","43218","39.9690,-83.0114","America/New_York",,,,,,"US, OH, Columbus, 3990 E. Broad Street, 43218","US","disa.columbus.ns.mbx.arin-registrations@mail.mil","Registration","21.0.0.0/8","+1-844-347-2457","DoD Network Information Center","mail.mil","business",,,
"8.161.122.98",,"false",,"Singapore","Singapore","SG","048616","1.2843,103.8511","Asia/Singapore","AS37963","Hangzhou Alibaba Advertising Co.,Ltd.","alibaba-inc.com","8.160.0.0/11","business","1 Raffles Place # 59-00 One Raffles Place, Tower One Singapore, Singapore","SG","anti-spam@list.alibaba-inc.com",,"8.160.0.0/11","+86-571-85022088","Aliyun Computing Co.LTD","aliyun.com","business",,,
"215.235.153.76",,"false",,"Columbus","Ohio","US","43218","39.9690,-83.0114","America/New_York",,,,,,"US, OH, Columbus, 3990 E. Broad Street, 43218","US","disa.columbus.ns.mbx.arin-registrations@mail.mil","Registration","215.0.0.0/8","+1-844-347-2457","DoD Network Information Center","mail.mil","isp",,,
"233.254.145.198",,"true",,,,,,,,,,,,,,,,,,,,,,,,
"125.102.121.103",,"false","125x102x121x103.ap125.ftth.ucom.ne.jp","Tokyo","Tokyo","JP","151-0052","35.6895,139.6917","Asia/Tokyo","AS17506","ARTERIA Networks Corporation","arteria-net.com","125.100.0.0/14","isp","Urbannet-Kanda Bldg 4F, 3-6-2 Uchi-Kanda, Chiyoda-ku, Tokyo 101-0047, Japan","JP","hostmaster@nic.ad.jp",,"125.100.0.0/14","+81-3-5297-2311","UCOM Corporation","ucom.ne.jp","isp",,,
